Date,Open,Close,High,Low,Volume,Date.1
2018-10-08,218.95,216.1,218.95,209.2,137,318
2018-10-09,215.85,228.1,229.8,215.8,193,306
2018-10-10,222.0,224.35,229.85,217.4,162,494
2018-10-11,224.7,228.7,232.1,224.65,83,885
2018-10-12,232.0,234.05,236.7,226.75,154,538
2018-10-13,237.1,234.5,237.65,232.7,105,604
2018-10-14,238.1,231.1,240.5,229.85,204,304
2018-10-15,230.0,227.65,232.55,226.0,104,719
2018-10-16,228.5,223.5,231.5,222.5,105,227
2018-10-17,215.2,218.9,222.0,215.1,67,232
2018-10-18,220.05,220.1,221.3,217.75,53,974
2018-10-19,218.0,222.3,224.65,216.15,79,392
2018-10-20,222.1,218.0,222.45,216.0,109,862
2018-10-21,219.05,219.6,221.2,217.05,220,558
2018-10-22,219.6,226.9,228.45,219.6,153,525
2018-10-23,220.0,218.05,220.85,205.75,635,100
2018-10-24,217.0,217.6,220.65,216.3,118,51
2018-10-25,217.0,217.45,223.35,216.4,123,733
2018-10-26,217.0,219.0,220.9,217.0,76,81
2018-10-27,221.65,214.35,221.75,213.55,137,845
2018-10-28,218.9,215.55,218.9,214.95,14,660
2018-10-29,218.9,210.05,220.0,209.0,173,333
2018-10-30,210.0,214.4,216.8,210.0,213,950
2018-10-31,215.5,219.9,221.5,212.0,153,517
2018-11-01,220.0,217.95,221.0,216.75,125,708
2018-11-02,217.1,221.4,222.25,216.8,84,374
2018-11-03,221.1,222.0,224.15,218.8,151,14
2018-11-04,223.8,224.0,225.2,221.55,79,320
2018-11-05,222.55,216.1,224.65,215.1,98,892
2018-11-06,215.0,219.1,220.35,214.5,219,300
2018-11-07,219.5,215.85,219.65,214.8,82,336
2018-11-08,217.45,217.7,219.0,212.85,111,732
2018-11-09,218.25,217.65,219.8,214.4,76,377
2018-11-10,217.75,215.45,221.3,214.0,107,20
2018-11-11,216.0,219.0,219.9,214.3,134,417
2018-11-12,217.25,219.0,220.5,216.85,92,366
2018-11-13,217.05,215.45,219.4,215.0,67,912
2018-11-14,215.45,209.6,216.5,209.0,137,310
2018-11-15,208.1,211.5,212.35,205.65,120,951
2018-11-16,212.5,207.95,212.5,207.1,82,263
2018-11-17,208.45,206.4,209.5,203.5,112,388
2018-11-18,204.1,198.55,209.55,197.2,167,551
2018-11-19,199.5,202.65,203.6,195.0,88,80
2018-11-20,203.75,212.2,213.5,203.15,113,986
2018-11-21,214.85,212.05,215.4,210.5,73,416
2018-11-22,210.65,212.3,213.4,209.9,63,197
2018-11-23,212.8,210.45,213.4,209.9,41,414
2018-11-24,210.0,209.8,213.45,208.8,91,282
2018-11-25,210.65,210.7,214.45,209.7,108,360
2018-11-26,210.05,210.8,213.3,209.0,48,393
2018-11-27,211.15,215.6,221.0,211.1,386,661
2018-11-28,216.3,219.2,223.7,215.75,285,849
2018-11-29,219.95,218.7,219.95,212.6,108,333
2018-11-30,221.1,220.9,224.5,215.8,224,79
2018-12-01,221.9,220.55,223.1,219.65,121,664
2018-12-02,223.0,219.4,223.5,218.8,58,561
2018-12-03,219.55,219.1,220.35,218.25,51,711
2018-12-04,218.5,214.8,220.35,213.6,57,102
2018-12-05,214.2,210.35,215.25,210.1,79,125
2018-12-06,212.0,214.0,214.75,210.05,119,459
